2023-12-04 09:44:05 status unpacked libaudit1:arm64 1:3.1.1-1
2023-12-04 09:44:05 install libblkid1:arm64 <none> 2.39.2-6
2023-12-04 09:44:05 status half-installed libblkid1:arm64 2.39.2-6
2023-12-04 09:44:05 status unpacked libblkid1:arm64 2.39.2-6
2023-12-04 09:44:05 install libbz2-1.0:arm64 <none> 1.0.8-5+b1
2023-12-04 09:44:05 status half-installed libbz2-1.0:arm64 1.0.8-5+b1
2023-12-04 09:44:05 status unpacked libbz2-1.0:arm64 1.0.8-5+b1
2023-12-04 09:44:05 install libc-bin:arm64 <none> 2.37-12
2023-12-04 09:44:05 status half-installed libc-bin:arm64 2.37-12
2023-12-04 09:44:06 status unpacked libc-bin:arm64 2.37-12
2023-12-04 09:44:06 upgrade libc6:arm64 2.37-12 2.37-12
2023-12-04 09:44:06 status half-configured libc6:arm64 2.37-12
2023-12-04 09:44:06 status unpacked libc6:arm64 2.37-12
2023-12-04 09:44:06 status half-installed libc6:arm64 2.37-12
2023-12-04 09:44:12 status unpacked libc6:arm64 2.37-12
2023-12-04 09:44:12 install libcap-ng0:arm64 <none> 0.8.3-1+b3
2023-12-04 09:44:12 status half-installed libcap-ng0:arm64 0.8.3-1+b3
2023-12-04 09:44:12 status unpacked libcap-ng0:arm64 0.8.3-1+b3
2023-12-04 09:44:12 install libcap2:arm64 <none> 1:2.66-4
2023-12-04 09:44:12 status half-installed libcap2:arm64 1:2.66-4
2023-12-04 09:44:12 status unpacked libcap2:arm64 1:2.66-4
2023-12-04 09:44:13 install libcom-err2:arm64 <none> 1.47.0-2+b1
2023-12-04 09:44:13 status half-installed libcom-err2:arm64 1.47.0-2+b1
2023-12-04 09:44:13 status unpacked libcom-err2:arm64 1.47.0-2+b1
2023-12-04 09:44:13 install libcrypt1:arm64 <none> 1:4.4.36-2
2023-12-04 09:44:13 status half-installed libcrypt1:arm64 1:4.4.36-2
2023-12-04 09:44:13 status unpacked libcrypt1:arm64 1:4.4.36-2
2023-12-04 09:44:13 install libdb5.3:arm64 <none> 5.3.28+dfsg2-4
2023-12-04 09:44:13 status half-installed libdb5.3:arm64 5.3.28+dfsg2-4
2023-12-04 09:44:13 status unpacked libdb5.3:arm64 5.3.28+dfsg2-4
2023-12-04 09:44:14 install libdebconfclient0:arm64 <none> 0.271
2023-12-04 09:44:14 status half-installed libdebconfclient0:arm64 0.271
2023-12-04 09:44:14 status unpacked libdebconfclient0:arm64 0.271
2023-12-04 09:44:14 install libext2fs2:arm64 <none> 1.47.0-2+b1
2023-12-04 09:44:14 status half-installed libext2fs2:arm64 1.47.0-2+b1
2023-12-04 09:44:14 status unpacked libext2fs2:arm64 1.47.0-2+b1
2023-12-04 09:44:14 install libffi8:arm64 <none> 3.4.4-2
2023-12-04 09:44:14 status half-installed libffi8:arm64 3.4.4-2
2023-12-04 09:44:14 status unpacked libffi8:arm64 3.4.4-2
2023-12-04 09:44:14 install libfile-find-rule-perl:all <none> 0.34-3
2023-12-04 09:44:14 status half-installed libfile-find-rule-perl:all 0.34-3
2023-12-04 09:44:15 status unpacked libfile-find-rule-perl:all 0.34-3
2023-12-04 09:44:15 install libgcc-s1:arm64 <none> 13.2.0-5
2023-12-04 09:44:15 status half-installed libgcc-s1:arm64 13.2.0-5
2023-12-04 09:44:15 status unpacked libgcc-s1:arm64 13.2.0-5
2023-12-04 09:44:15 install libgcrypt20:arm64 <none> 1.10.2-3
2023-12-04 09:44:15 status half-installed libgcrypt20:arm64 1.10.2-3
2023-12-04 09:44:15 status unpacked libgcrypt20:arm64 1.10.2-3
2023-12-04 09:44:15 install libgdbm-compat4:arm64 <none> 1.23-5
2023-12-04 09:44:15 status half-installed libgdbm-compat4:arm64 1.23-5
2023-12-04 09:44:16 status unpacked libgdbm-compat4:arm64 1.23-5
2023-12-04 09:44:16 install libgdbm6:arm64 <none> 1.23-5
2023-12-04 09:44:16 status half-installed libgdbm6:arm64 1.23-5
2023-12-04 09:44:16 status unpacked libgdbm6:arm64 1.23-5
2023-12-04 09:44:16 install libgmp10:arm64 <none> 2:6.3.0+dfsg-2
2023-12-04 09:44:16 status half-installed libgmp10:arm64 2:6.3.0+dfsg-2
2023-12-04 09:44:16 status unpacked libgmp10:arm64 2:6.3.0+dfsg-2
2023-12-04 09:44:16 install libgnutls30:arm64 <none> 3.8.1-4+b1
2023-12-04 09:44:16 status half-installed libgnutls30:arm64 3.8.1-4+b1
2023-12-04 09:44:17 status unpacked libgnutls30:arm64 3.8.1-4+b1
2023-12-04 09:44:17 install libgpg-error0:arm64 <none> 1.47-3
2023-12-04 09:44:17 status half-installed libgpg-error0:arm64 1.47-3
2023-12-04 09:44:17 status unpacked libgpg-error0:arm64 1.47-3
2023-12-04 09:44:17 install libhogweed6:arm64 <none> 3.9.1-2
2023-12-04 09:44:17 status half-installed libhogweed6:arm64 3.9.1-2
2023-12-04 09:44:17 status unpacked libhogweed6:arm64 3.9.1-2
2023-12-04 09:44:18 install libidn2-0:arm64 <none> 2.3.4-1+b1
2023-12-04 09:44:18 status half-installed libidn2-0:arm64 2.3.4-1+b1
2023-12-04 09:44:18 status unpacked libidn2-0:arm64 2.3.4-1+b1
2023-12-04 09:44:18 install liblz4-1:arm64 <none> 1.9.4-1
2023-12-04 09:44:18 status half-installed liblz4-1:arm64 1.9.4-1
2023-12-04 09:44:18 status unpacked liblz4-1:arm64 1.9.4-1
2023-12-04 09:44:18 install liblzma5:arm64 <none> 5.4.5-0.1
2023-12-04 09:44:18 status half-installed liblzma5:arm64 5.4.5-0.1
2023-12-04 09:44:18 status unpacked liblzma5:arm64 5.4.5-0.1
2023-12-04 09:44:19 install libmd0:arm64 <none> 1.1.0-1
2023-12-04 09:44:19 status half-installed libmd0:arm64 1.1.0-1
